,index,License Issue Date,License Number,Animal's Name,Species,Secondary Breed,ZIP Code,Obedient,Calm,Trainable,Sociable,Bold
129,Alaskan Husky,September 25 2018,S120718,Zelda,Dog,German Shepherd,98101,,,,,
130,Alaskan Husky,May 15 2018,S143775,Chaska,Dog,Shetland Sheepdog,98117,,,,,
131,Alaskan Husky,September 19 2018,S120637,Loba,Dog,,98109,,,,,
132,Alaskan Husky,August 29 2018,S146308,Connor,Dog,Labrador Retriever,98118,,,,,
133,Alaskan Husky,August 01 2018,S120398,Rocky,Dog,,98118,,,,,
134,Alaskan Husky,January 14 2018,S139331,Hank McCoy,Dog,Labrador Retriever,98119,,,,,
135,Alaskan Klee Kai,December 21 2018,8004041,Storm,Dog,,98122,,,,,
136,Alaskan Klee Kai,December 10 2018,961487,Romeo,Dog,,98115,,,,,
137,Alaskan Klee Kai,December 21 2018,8004035,Chutney,Dog,,98122,,,,,
138,Alaskan Klee Kai,January 16 2018,S139555,Tofu,Dog,,98103,,,,,
139,Alaskan Klee Kai,May 15 2018,S116040,Thunder,Dog,,98103,,,,,
140,Alaskan Klee Kai,September 12 2018,8000858,Bowie,Dog,American Eskimo,98199,,,,,
141,Alaskan Klee Kai,March 09 2018,S140697,Pad Thai,Dog,,98102,,,,,
142,Alaskan Klee Kai,February 09 2018,S140583,Mikoh,Dog,Shiba Inu,98105,,,,,
143,Alaskan Klee Kai,July 24 2018,S102278,Oz,Dog,,98119,,,,,
144,Alaskan Klee Kai,June 11 2018,S144697,Ollie,Dog,,98106,,,,,
145,Alaskan Klee Kai,January 30 2018,S140128,Qiviut,Dog,,98102,,,,,
146,Alaskan Klee Kai,January 10 2018,S139334,Runa,Dog,,98107,,,,,
147,Alaskan Klee Kai,June 12 2018,140510,Che,Dog,,98144,,,,,
148,Alaskan Klee Kai,July 24 2018,S102277,Kiwi,Dog,,98119,,,,,
149,Alaskan Klee Kai,February 13 2018,S140537,Whiskey,Dog,,98144,,,,,
150,Alaskan Klee Kai,June 11 2018,S144698,Jax,Dog,,98106,,,,,
151,Alaskan Malamute,November 27 2018,8003303,Kodiak,Dog,German Shepherd,98102,0.5,1.0,0.0,0.5,0.5
152,Alaskan Malamute,December 10 2018,S124461,Nala,Dog,,98115,0.5,1.0,0.0,0.5,0.5
153,Alaskan Malamute,November 17 2018,8002818,Machiavelli,Dog,,98122,0.5,1.0,0.0,0.5,0.5
154,Alaskan Malamute,November 20 2018,8003012,Kai,Dog,,98136,0.5,1.0,0.0,0.5,0.5
155,Alaskan Malamute,October 30 2018,8002324,Randle,Dog,Alaskan Malamute,98122,0.5,1.0,0.0,0.5,0.5
156,Alaskan Malamute,October 31 2018,S122415,Jeep,Dog,Alaskan Husky,98125,0.5,1.0,0.0,0.5,0.5
157,Alaskan Malamute,November 29 2018,8003369,Kodi,Dog,,98116,0.5,1.0,0.0,0.5,0.5
158,Alaskan Malamute,December 24 2018,901881,Swisher,Dog,,98103,0.5,1.0,0.0,0.5,0.5
159,Alaskan Malamute,October 30 2018,8002328,Brutus,Dog,,98133,0.5,1.0,0.0,0.5,0.5
160,Alaskan Malamute,November 24 2018,8003169,Ahnah,Dog,,98117,0.5,1.0,0.0,0.5,0.5
161,Alaskan Malamute,July 01 2018,216594,Saito,Dog,Samoyed,98107,0.5,1.0,0.0,0.5,0.5
162,Alaskan Malamute,June 01 2018,S144317,Polltergeist,Dog,Labrador Retriever,98112,0.5,1.0,0.0,0.5,0.5
163,Alaskan Malamute,July 06 2018,S117121,Blu,Dog,,98109,0.5,1.0,0.0,0.5,0.5
164,Alaskan Malamute,March 27 2018,139919,Quinn,Dog,,98126,0.5,1.0,0.0,0.5,0.5
165,Alaskan Malamute,September 29 2018,8001386,Luna,Dog,,98177,0.5,1.0,0.0,0.5,0.5
166,Alaskan Malamute,May 22 2018,283853,Pyra,Dog,,98115,0.5,1.0,0.0,0.5,0.5
167,Alaskan Malamute,April 24 2018,S101733,Sasha,Dog,,98117,0.5,1.0,0.0,0.5,0.5
168,Alaskan Malamute,March 20 2018,S141681,Aurora,Dog,,98126,0.5,1.0,0.0,0.5,
169,Alaskan Malamute,September 27 2018,S146971,Blue,Dog,,98119,0.5,1.0,0.0,0.5,
170,Alaskan Malamute,July 31 2018,584630,Maya,Dog,,98126,0.5,1.0,0.0,0.5,
171,Alaskan Malamute,June 18 2018,S117025,Sitka,Dog,,98116,0.5,1.0,0.0,0.5,
172,Alaskan Malamute,September 02 2018,729861,Tesla,Dog,,98126,0.5,1.0,0.0,0.5,
173,Alaskan Malamute,July 06 2018,439993,Beau,Dog,,98109,0.5,1.0,0.0,0.5,
174,Alaskan Malamute,January 31 2018,S126797,"Smoky Mountain Koda Bear (""Koda"")",Dog,,98103,0.5,1.0,0.0,0.5,
175,Alaskan Malamute,April 10 2018,S115153,Sammy,Dog,Golden Retriever,98116,0.5,1.0,0.0,0.5,
176,Alaskan Malamute,June 29 2018,S145390,Yuki,Dog,,98117,0.5,1.0,0.0,0.5,
177,Alaskan Malamute,January 12 2018,829256,Juneau,Dog,Siberian Husky,98115,0.5,1.0,0.0,0.5,
178,Alaskan Malamute,January 23 2018,S139829,Lars,Dog,Alaskan Husky,98103,0.5,1.0,0.0,0.5,
179,Alaskan Malamute,April 29 2018,S111429,Gracie,Dog,Siberian Husky,98125,0.5,1.0,0.0,0.5,
180,Alaskan Malamute,June 18 2018,S144705,Tatoosh,Dog,,98125,0.5,1.0,0.0,0.5,
181,Alaskan Malamute,April 30 2018,S113967,Ariel,Dog,,98109,0.5,1.0,0.0,0.5,
182,Alaskan Malamute,July 03 2018,S145494,Millie,Dog,,98102,0.5,1.0,0.0,0.5,
183,Alaskan Malamute,February 12 2018,S126730,Luchta,Dog,,98119,0.5,1.0,0.0,0.5,
184,Alaskan Malamute,March 20 2018,207482,Denali,Dog,,98177,0.5,1.0,0.0,0.5,
185,Alaskan Malamute,July 10 2018,358897,Finnigan,Dog,,98105,0.5,1.0,0.0,0.5,
186,Alaskan Malamute,March 12 2018,S141334,Maui,Dog,,98199,0.5,1.0,0.0,0.5,
187,Alaskan Malamute,July 30 2018,S147445,Ava,Dog,,98105,0.5,1.0,0.0,0.5,
188,Alaskan Malamute,August 27 2018,8000387,Bear,Dog,,98109,0.5,1.0,0.0,0.5,
189,Alaskan Malamute,June 29 2018,359354,Sister,Dog,,98177,0.5,1.0,0.0,0.5,
190,Alaskan Malamute,August 07 2018,S147710,Trigger,Dog,Border Collie,98122,0.5,1.0,0.0,0.5,
191,Alaskan Malamute,April 24 2018,S114194,Sesi,Dog,,98103,0.5,1.0,0.0,0.5,
192,Alaskan Malamute,March 01 2018,S141160,Kodiak,Dog,,98117,0.5,1.0,0.0,0.5,
193,Alaskan Malamute,April 30 2018,137126,Athena,Dog,Golden Retriever,98103,0.5,1.0,0.0,0.5,
194,Alaskan Malamute,June 26 2018,443351,Anana,Dog,,98101,0.5,1.0,0.0,0.5,
195,Alaskan Malamute,May 30 2018,283082,Tatoosh,Dog,,98117,0.5,1.0,0.0,0.5,
196,Alaskan Malamute,March 27 2018,958891,Kokanee,Dog,,98116,0.5,1.0,0.0,0.5,
197,Alaskan Malamute,January 26 2018,729843,Teddy,Dog,,98112,0.5,1.0,0.0,0.5,
198,Alaskan Malamute,May 16 2018,S143847,Kadin,Dog,,98136,0.5,1.0,0.0,0.5,
199,American Blue Heeler,November 18 2018,8002909,Arlo,Dog,,98107,,,,,
200,American Blue Heeler,February 23 2018,S141036,Penny,Dog,Alaskan Husky,98126,,,,,
201,American Blue Heeler,May 11 2018,S143652,Odie,Dog,American Eskimo,98102,,,,,
202,American Blue Heeler,May 17 2018,S143806,Crosby,Dog,Border Collie,98117,,,,,
203,American Blue Heeler,May 31 2018,S115229,Pemba,Dog,,98118,,,,,
204,American Blue Heeler,September 13 2018,8000892,Zeke,Dog,Australian Cattle Dog,98117,,,,,
205,American Blue Heeler,April 12 2018,S112264,McGrupp,Dog,Mastiff,98122,,,,,
206,American Blue Heeler,July 02 2018,S116329,Fonzie,Dog,Australian Cattle Dog,98122,,,,,
207,American Blue Heeler,June 12 2018,S144666,Vera,Dog,Miniature Schnauzer,98118,,,,,
208,American Blue Heeler,July 12 2018,S145853,Pepper,Dog,Labrador Retriever,98118,,,,,
209,American Blue Heeler,August 23 2018,S145964,Ellie,Dog,,98178,,,,,
210,American Blue Heeler,May 25 2018,S143865,Shasta,Dog,Australian Shepherd,98117,,,,,
211,American Blue Heeler,August 30 2018,S102527,Korra,Dog,,98105,,,,,
212,American Blue Heeler,March 22 2018,S110228,Blue,Dog,Collie,98102,,,,,
213,American Blue Heeler,July 31 2018,960344,Cody,Dog,Shepherd,98106,,,,,
214,American Blue Heeler,September 26 2018,S134843,Harvey,Dog,Australian Shepherd,98115,,,,,
215,American Blue Heeler,July 05 2018,S145659,Derby,Dog,Jack Russell Terrier,98108,,,,,
216,American Bulldog,December 20 2018,S125880,"Jimmy Chew ""Chewie""",Dog,,98119,,,,,
217,American Bulldog,December 10 2018,8003699,Kira,Dog,Boxer,98122,,,,,
218,American Bulldog,November 30 2018,8003389,Sadie,Dog,Boxer,98106,,,,,
219,American Bulldog,December 31 2018,S124747,Hachi,Dog,,98126,,,,,
220,American Bulldog,October 30 2018,S136965,Aute,Dog,,98177,,,,,
221,American Bulldog,October 18 2018,S144969,Rudy,Dog,Border Collie,98103,,,,,
222,American Bulldog,November 07 2018,S124327,Jameson,Dog,Boxer,98115,,,,,
223,American Bulldog,November 05 2018,904828,Luna,Dog,,98136,,,,,
224,American Bulldog,December 01 2018,8003425,Madison,Dog,,98116,,,,,
225,American Bulldog,November 06 2018,S152204,Tison,Dog,,98122,,,,,
226,American Bulldog,October 22 2018,834654,Praxis,Dog,,98136,,,,,
