License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
December 21 2018,8004021,Leila,Dog,Border Collie,"Retriever, Flat-Coated",98103
December 24 2018,8004117,Tulio,Dog,"Retriever, Golden",,98105
December 14 2018,S131524,Leela,Dog,"Retriever, Labrador",,98144
November 27 2018,S104885,Maya,Dog,"Terrier, Jack Russell","Terrier, Cairn",98102
October 19 2018,21434,Jasper,Dog,"Terrier, American Pit Bull","Retriever, Labrador",98136
October 19 2018,8002026,Leopold,Dog,Papillon,,98199
December 02 2018,8003439,Klaus,Dog,"Retriever, Labrador",,98136
September 17 2018,730620,Fredo,Dog,"Chihuahua, Short Coat",,98136
November 20 2018,8003034,LUCY,Dog,"Chihuahua, Short Coat",Shiba Inu,98116
November 27 2018,8003303,Kodiak,Dog,Alaskan Malamute,German Shepherd,98102
November 01 2018,835179,Stella,Dog,"Retriever, Labrador","Retriever, Chesapeake Bay",98117
November 25 2018,904283,Gucci,Dog,"Retriever, Golden","Poodle, Standard",98103
December 08 2018,8003631,Lou Lou,Dog,Australian Cattle Dog,Mix,98102
November 20 2018,8003058,Layla,Dog,Rottweiler,Mix,98122
December 14 2018,950094,Molly,Dog,"Retriever, Labrador",Mix,98116
November 01 2018,831636,Monkey Girl,Dog,"Retriever, Labrador","Terrier, American Pit Bull",98102
November 06 2018,903738,Winston,Dog,"Terrier, Airedale",,98101
November 24 2018,S137301,Lucy,Dog,Hound,Brittany,98107
December 01 2018,901943,Falcor,Dog,"Dachshund, Standard Long Haired",Spaniel,98117
November 24 2018,S122023,Nacho,Dog,"Retriever, Labrador","Chihuahua, Short Coat",98117
December 21 2018,960905,Faelan,Dog,Samoyed,,98146
December 15 2018,8003869,Katana,Dog,Boxer,,98108
November 05 2018,S137494,Keiko,Dog,"Retriever, Golden",Mix,98105
November 16 2018,8002766,Sacha,Dog,"Retriever, Golden",,98199
October 23 2018,829392,Maggie,Dog,"Griffon, Brussels",,98106
November 04 2018,8002428,Olive,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",,98103
November 19 2018,835237,Charlotte,Dog,"Retriever, Labrador",,98105
November 20 2018,835087,Mina,Dog,Beagle,,98103
November 20 2018,8003051,Katie,Dog,"Spaniel, Tibetan",Mix,98118
December 30 2018,S107761,Lucilla,Dog,Retriever,,98106
November 29 2018,S150110,Doc,Dog,"Terrier, Yorkshire",,98116
November 27 2018,8003299,Flynn,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98109
November 12 2018,901879,Murdock,Dog,Beagle,Pug,98144
November 01 2018,S122613,Penelope,Dog,"Chihuahua, Long Coat",,98115
November 15 2018,S146562,Cano,Dog,"Retriever, Labrador",,98115
December 13 2018,960459,Bronte,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98107
October 26 2018,357198,Mr. Bean,Dog,"Retriever, Labrador",Mix,98136
December 17 2018,959971,Alfie,Dog,"Retriever, Labrador","Poodle, Standard",98122
November 09 2018,8002604,Dexter,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98103
November 17 2018,8002826,Lexi,Dog,"Chihuahua, Short Coat",Miniature Pinscher,98126
November 01 2018,8002372,Baxter,Dog,Retriever,,98105
November 20 2018,8003013,George,Dog,Maltese,,98106
December 10 2018,S125166,Mochi,Dog,"Chihuahua, Short Coat",Pomeranian,98115
November 20 2018,8003040,Ripley,Dog,"Retriever, Golden",Australian Shepherd,98106
November 10 2018,833087,Zippy,Dog,"Dachshund, Standard Smooth Haired",Mix,98118
November 27 2018,835431,Everett,Dog,"Retriever, Golden",,98199
November 25 2018,S123160,Fozzie,Dog,"Poodle, Standard",Mix,98115-4820
December 03 2018,S101302,MJ,Dog,"Chihuahua, Short Coat",Mix,98122
December 27 2018,S137961,Ozzy,Dog,Australian Shepherd,"Retriever, Labrador",98109
August 29 2018,S146743,Avon,Dog,Samoyed,Mix,98122
December 06 2018,S152262,Carmen,Dog,"Chihuahua, Short Coat",,98107
November 24 2018,8003162,Leo,Dog,"Retriever, Labrador",Mix,98118
December 21 2018,8004039,Sif,Dog,Beagle,"Terrier, Fox, Smooth",98102
November 28 2018,832218,Suki,Dog,"Chihuahua, Short Coat",Mix,98115
December 07 2018,960898,Fiona,Dog,Terrier,"Chihuahua, Short Coat",98106
December 13 2018,8003805,Pixie,Dog,Maltese,Mix,98109
November 20 2018,902687,Oscar,Dog,"Terrier, Jack Russell",,98116
November 12 2018,961450,Moro,Dog,German Shepherd,,98103
December 04 2018,8003509,Casper,Dog,Australian Shepherd,Mix,98107
October 26 2018,358952,Ace,Dog,Shepherd,Irish Wolfhound,98117
November 04 2018,8002444,Kodiak,Dog,"Retriever, Labrador",,98103
November 12 2018,S123467,Bosco,Dog,Basenji,,98122
December 31 2018,8004245,Bella,Dog,"Retriever, Labrador",Australian Shepherd,98133
October 27 2018,S146771,Kali,Dog,"Terrier, American Staffordshire",,98125
November 12 2018,8002670,Batsy,Dog,"Chihuahua, Short Coat",,98146
December 09 2018,S124354,Darwin,Dog,Newfoundland,,98109
December 07 2018,8003589,Bogart,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98144
November 03 2018,835066,Sully,Dog,Akbash,,98106
November 27 2018,S123981,Nephthys,Dog,"Poodle, Standard",,98112
October 29 2018,8002302,Ozzy,Dog,Great Pyrenees,,98126
December 06 2018,8003568,Poca,Dog,Basenji,Whippet,98115
October 26 2018,S138074,Quinn,Dog,Shetland Sheepdog,,98115
December 09 2018,S139141,Magnus,Dog,"Bulldog, French",,98103
October 27 2018,831137,Maggie,Dog,Portuguese Water Dog,"Retriever, Labrador",98103
November 25 2018,S124640,Taz,Dog,"Terrier, Yorkshire",,98103
December 09 2018,964387,Marge,Dog,"Chihuahua, Short Coat","Terrier, Yorkshire",98103
November 17 2018,8002783,Bodhi,Dog,Australian Cattle Dog,Mix,98103
December 22 2018,S133947,Hattie,Dog,Border Collie,,98112
October 24 2018,730624,Daisy,Dog,"Chihuahua, Short Coat",Terrier,98115
November 29 2018,S148173,Tux,Dog,"Terrier, American Pit Bull",Mix,98118
December 01 2018,8003433,Max,Dog,"Terrier, American Staffordshire",Mix,98103
November 01 2018,S148123,Thurman,Dog,Shih Tzu,Mix,98119
November 13 2018,8002702,Jewel,Dog,"Retriever, Labrador",Mix,98115
November 30 2018,S118049,Baxter Bones,Dog,"Terrier, Jack Russell",,98116
December 14 2018,964435,Fido,Dog,Maltese,"Poodle, Miniature",98107
December 28 2018,S115156,Em,Dog,"Welsh Corgi, Pembroke",,98136
November 19 2018,835253,Ernie,Dog,"Terrier, Boston",Australian Shepherd,98115
December 24 2018,901457,Royal,Dog,"Dachshund, Miniature Smooth Haired",,98122
November 24 2018,829696,Lilo,Dog,"Retriever, Labrador",,98117
December 27 2018,S138640,Ally,Dog,"Chihuahua, Short Coat",,98122
November 20 2018,8003027,Hank,Dog,"Chihuahua, Short Coat",Pomeranian,98106
December 22 2018,957320,Tolmie,Dog,Australian Shepherd,,98115
October 18 2018,8001988,Rocco,Dog,"Mixed Breed, Small (under 24 lbs fully grown)",Mix,98118
December 29 2018,8004202,Kaiku,Dog,"Retriever, Golden",,98115
November 29 2018,S150125,Milli,Dog,"Dachshund, Miniature Long Haired",Mix,98107
October 20 2018,830460,Scout,Dog,"Chihuahua, Short Coat",,98178
October 18 2018,8002015,Dargo,Dog,Boxer,Mastiff,98106
November 14 2018,903865,Hogan,Dog,"Terrier, Airedale",,98125
December 23 2018,S101729,Winston,Dog,Shih Tzu,Mix,98107
October 20 2018,S149151,Stevie,Dog,"Chihuahua, Short Coat",Mix,98122
