Unique_ID,AnimalName,AnimalClass,AnimalBreed,AnimalColour,AnimalGender,AnimalDesexed,locality,OBJECTID
15564,Henry,Desexed,Blue Heeler,Black & White,M,Y,WINDSOR GARDENS,14564
15565,Stella,Desexed/Microchipped,Labrador,Black,F,Y,WINDSOR GARDENS,14565
15566,Hachiko,Standard,Fox Terrier,White,M,N,WINDSOR GARDENS,14566
15567,Ru,Microchipped,Cattle Dog,Tan & White,F,N,LARGS NORTH,14567
15568,Maizie,Desexed,Kelpie,Black & White,F,Y,GREENACRES,14568
15569,Sam,Desexed/Microchipped,German Shepherd,Tan & Black,F,Y,GREENACRES,14569
15570,Harry,Desexed/Microchipped,Border Collie,Black & White,U,Y,NORTHFIELD,14570
15571,Flash,Desexed/Microchipped,Heeler,White,M,Y,NORTHFIELD,14571
15572,India,Desexed/Microchipped,Cavoodle,Black,F,Y,SEMAPHORE SOUTH,14572
15573,Dior,Desexed,Pomeranian,Unknown,F,Y,ALBERTON,14573
15574,Mercedes,Desexed,Pomeranian,Unknown,F,Y,ALBERTON,14574
15575,Coco,Desexed/Microchipped,Poodle,Apricot,F,Y,WINDSOR GARDENS,14575
15576,Frank,Desexed/Microchipped,German Shepherd - Long Haired,Sable,M,Y,ENFIELD,14576
15577,Hunter,Desexed/Microchipped,Beagle,Tri Colour,M,Y,ENFIELD,14577
15578,Kayan,Desexed/Microchipped,Husky,White & Black,M,Y,WINGFIELD,14578
15579,Koda,Desexed/Microchipped,Siberian Husky,Red & White,M,Y,WINGFIELD,14579
15580,Mavro,Desexed/Microchipped,Shepherd,Black & White,M,Y,WINGFIELD,14580
15581,Zuto,Working Dog,Kelpie,Tan & Brown,M,N,WINGFIELD,14581
15582,Jaffa,Desexed/Microchipped,Maltese,Black,F,Y,WINDSOR GARDENS,14582
15583,Mishu,Desexed/Microchipped,Japanese Spitz,White,M,Y,KLEMZIG,14583
15584,Snoopy,Standard,Beagle,Black & Yellow,M,N,BROADVIEW,14584
15585,Xander,Desexed/Microchipped,Cavalier King Charles Spaniel,Blenheim,U,Y,WOODVILLE GARDENS,14585
15586,Lola,Desexed/Microchipped,Maltese Terrier,White,F,Y,KLEMZIG,14586
15587,Max,Desexed/Microchipped,Staffordshire Bull Terrier,Tan & White,M,Y,WINDSOR GARDENS,14587
15588,Mia,Desexed/Microchipped,Staffordshire Bull Terrier,Brindle,F,Y,WINDSOR GARDENS,14588
15589,Lucy Elliott,Desexed/Concession/Microchipped,Maltese,White,F,Y,CROYDON PARK,14589
15590,Ruby,Desexed/Pension/Microchipped,Maltese Terrier,White,F,Y,CROYDON PARK,14590
15591,Ollie,Desexed/Microchipped,Kelpie,Tan,M,Y,ROSEWATER,14591
15592,Seamus,Desexed/Microchipped/Obedience,Irish Wolfhound,Black & Grey & White,M,Y,ROSEWATER,14592
15593,Daisie,Pension/Microchipped,Cavalier King Charles Spaniel,White & Tan,F,N,WINDSOR GARDENS,14593
15594,Rosie,Pension/Microchipped,Cavalier King Charles Spaniel,Black,F,N,WINDSOR GARDENS,14594
15595,Charlie,Desexed/Microchipped,Labrador,Gold,M,Y,ROSEWATER,14595
15596,Malabu,Pension,Blue Heeler,Blue & Red,F,N,KLEMZIG,14596
15597,Shiver,Desexed/Pension/Microchipped,Shih Tzu,White & Tan,F,Y,KLEMZIG,14597
15598,Dutchy,Concession,Boxer,White,M,N,NORTH HAVEN,14598
15599,Scruffy,Pension,Shih Tzu,Brown & White,M,N,NORTHFIELD,14599
15600,Hamish,Desexed/Microchipped,Staffordshire Bull Terrier,Black,M,Y,PETERHEAD,14600
15601,Merlin,Desexed/Microchipped,Great Dane,Fawn,M,Y,CROYDON PARK,14601
15602,Lily,Desexed/Microchipped,Cavalier King Charles Spaniel,White & Tan,F,Y,HILLCREST,14602
15603,Murphy,Desexed/Microchipped,Terrier,Black,M,Y,HILLCREST,14603
15604,Toby,Desexed/Microchipped,Maltese Terrier,Cream,M,Y,KLEMZIG,14604
15605,Elroy,Desexed/Microchipped,Pug,Fawn,M,Y,BIRKENHEAD,14605
15606,Maxi,Desexed/Pension/Microchipped,Fox Terrier,Tan & Brown,F,Y,LARGS BAY,14606
15607,Dog,Desexed/Microchipped,Schnauzer,Salt & Pepper,F,Y,OSBORNE,14607
15608,Zeus,Desexed/Microchipped,Alaskan Malamute,Black & White,M,Y,OSBORNE,14608
15609,Dakota Ross,Desexed/Microchipped,Border Collie,Black,F,Y,OSBORNE,14609
15610,Jake,Desexed/Microchipped,Border Collie,Black & White,M,Y,OSBORNE,14610
15611,Princess,Desexed/Microchipped/Obedience,Chihuahua,Tan & White,F,Y,GILLMAN,14611
15612,Peaches,Desexed/Microchipped,Basenji,Tan & White,F,Y,GILLMAN,14612
15613,Mortimer,Pension/Microchipped,Cocker Spaniel,Blue Roan,M,N,WINDSOR GARDENS,14613
15614,CAVI,Desexed/Microchipped,Cavalier King Charles Spaniel,White & Brindle,M,Y,KLEMZIG,14614
15615,Molly,Desexed,Beagle,Tri Colour,F,Y,KILBURN,14615
