RowNumber,AnimalName,AnimalGender,AnimalBirthMonth,BreedName,Borough,ZipCode,CommunityDistrict,CensusTract2010,NTA,CityCouncilDistrict,CongressionalDistrict,StateSenatorialDistrict,LicenseIssuedDate,LicenseExpiredDate
45352,BIGGIE ,M,11/1/15 0:00,Morkie,Queens,11379,405,505,QN21,29,6,16,1/2/16,1/2/17
45353,HADDIE,F,6/1/12 0:00,German Shepherd Crossbreed,Brooklyn,11215,307,169,BK40,38,9,21,1/2/16,1/8/17
45354,HARLEM,F,3/1/08 0:00,Unknown,Manhattan,10037,110,214,MN03,9,13,30,1/2/16,2/22/18
45355,BOGEY,M,11/1/14 0:00,Australian Shepherd,Manhattan,10003,106,64,MN21,2,12,28,1/2/16,1/27/17
45356,GUS,M,12/1/12 0:00,Maltese,Brooklyn,11217,306,159,BK37,39,9,20,1/2/16,1/2/18
45357,BENGY,M,6/1/05 0:00,"Poodle, Miniature",Queens,11368,403,375,QN26,21,14,13,1/2/16,1/1/17
45358,BELLA,F,6/1/13 0:00,Cocker Spaniel,Manhattan,10022,106,98,MN19,4,12,28,1/2/16,1/2/17
45359,BARTHOLOMEW,M,10/1/09 0:00,Yorkshire Terrier,Brooklyn,11201,302,15,BK38,33,8,25,1/2/16,11/18/18
45360,BELLA ,F,1/1/09 0:00,Maltese,Queens,11385,405,545,QN20,34,7,12,1/2/16,2/9/17
45361,BELLA,F,5/1/10 0:00,Maltese,Manhattan,10021,108,128,MN40,4,12,28,1/2/16,11/24/16
45362,BELLA ,F,12/1/13 0:00,Yorkshire Terrier,Queens,11369,403,339,QN28,25,14,13,1/2/16,1/2/17
45363,DYLAN,M,8/1/07 0:00,Yorkshire Terrier,Queens,11106,401,45,QN70,22,12,12,1/2/16,1/17/17
45364,EMMY,F,8/1/14 0:00,Cocker Spaniel,Queens,11105,401,101,QN72,22,14,12,1/2/16,2/23/17
45365,LUNA,F,12/1/08 0:00,Unknown,Manhattan,10029,111,182,MN34,8,13,30,1/2/16,12/29/16
45366,LUCY,F,3/1/09 0:00,Cavalier King Charles Spaniel,Manhattan,10028,108,14402,MN32,5,12,28,1/2/16,2/17/18
45367,TOBI,M,9/1/12 0:00,Shiba Inu,Staten Island,10314,502,18702,SI05,50,11,24,1/2/16,1/22/17
45368,TOBY,M,11/1/09 0:00,Jack Russell Terrier,Staten Island,10306,503,14606,SI54,51,11,24,1/2/16,11/16/16
45369,TIRADO,M,1/1/06 0:00,Pit Bull Mix,Bronx,10466,212,448,BX62,12,16,36,1/2/16,1/2/17
45370,TOM,M,11/1/14 0:00,Shih Tzu,Queens,11414,410,884,QN57,32,8,15,1/2/16,1/2/17
45371,PRINCESS,F,10/1/15 0:00,Poodle Crossbreed,Manhattan,10011,104,89,MN13,3,10,27,1/2/16,1/2/17
45372,TEDDY,M,3/1/11 0:00,Maltese,Brooklyn,11209,310,68,BK31,43,11,22,1/2/16,11/12/16
45373,MADDIE,F,6/1/15 0:00,Pointer,Manhattan,10010,105,58,MN13,3,12,28,1/2/16,1/2/17
45374,MADIBA,M,9/1/15 0:00,Bulldog,Brooklyn,11221,303,293,BK35,36,8,25,1/2/16,1/2/17
45375,MISSY,F,4/1/06 0:00,Pug,Queens,11365,407,1207,QN52,20,6,11,1/2/16,2/8/17
45376,JOSIE,F,11/1/12 0:00,Labrador Retriever Crossbreed,Manhattan,10025,107,181,MN12,6,10,30,1/2/16,2/16/17
45377,CHLOE,F,7/1/11 0:00,Unknown,Brooklyn,11229,315,628,BK17,46,9,22,1/2/16,2/15/17
45378,CHILI,F,7/1/15 0:00,Chihuahua Crossbreed,Manhattan,10009,103,32,MN22,2,12,27,1/2/16,1/2/17
45379,CLEMENTINE,F,9/1/11 0:00,Unknown,Brooklyn,11215,306,157,BK37,39,9,20,1/2/16,1/1/17
45380,COCO,F,10/1/11 0:00,Pit Bull Mix,Bronx,10452,204,189,BX26,8,15,29,1/2/16,1/2/17
45381,COCO,F,11/1/11 0:00,Labrador Retriever,Brooklyn,11235,315,600,BK17,48,9,23,1/2/16,2/6/17
45382,JAWS,M,4/1/12 0:00,Cavalier King Charles Spaniel,Queens,11377,402,255,QN63,26,14,13,1/2/16,2/15/17
45383,SHIRLEY,F,8/1/14 0:00,Tibetan Terrier,Manhattan,10024,107,171,MN12,6,10,31,1/2/16,11/25/16
45384,SHADOW,M,5/1/15 0:00,Yorkshire Terrier,Brooklyn,11212,316,920,BK81,42,8,19,1/2/16,1/2/17
45385,SEXY,F,10/1/11 0:00,Morkie,Brooklyn,11205,302,193,BK69,35,8,25,1/2/16,1/2/21
45386,SCOOBY ,M,10/1/08 0:00,"Shar-Pei, Chinese",Queens,11385,405,591,QN20,34,7,12,1/2/16,2/12/17
45387,SASHA ,F,6/1/15 0:00,Pit Bull,Brooklyn,11224,313,342,BK21,47,8,23,1/2/16,1/2/17
45388,MOLLY,F,5/1/15 0:00,Wire Fox Terrier,Staten Island,10314,501,18901,SI07,50,11,24,1/2/16,1/2/17
45389,SAM,M,9/1/12 0:00,Cairn Terrier,Queens,11378,405,511,QN30,30,6,15,1/2/16,1/21/18
45390,CHARLEY,F,8/1/14 0:00,"Poodle, Toy",Manhattan,10013,102,37,MN24,3,10,27,1/2/16,2/19/17
45391,HUGO,M,12/1/14 0:00,Labrador Retriever Crossbreed,Queens,11374,406,69702,QN18,29,6,15,1/2/16,2/21/17
45392,MCQUEEN,M,11/1/12 0:00,Havanese,Manhattan,10128,108,14602,MN32,5,12,28,1/2/16,12/27/17
