License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
November 19 2018,S105805,George,Dog,Dachshund,,98144
October 20 2018,827664,Whiskers,Dog,Havanese,,98133
October 31 2018,827069,Bella,Dog,Yorkshire Terrier,,98115
November 10 2018,904464,Buddy,Dog,Miniature Poodle,Miniature Schnauzer,98126
December 07 2018,S137458,Prof. Kepler McSmartyPants Locke,Dog,Miniature Australian Shepherd,,98115
November 14 2018,904083,Momo,Dog,Siberian Husky,,98103
November 30 2018,8003386,Ollie,Dog,Shetland Sheepdog,,98118
November 25 2018,904780,Autumn,Dog,Australian Shepherd,Dachshund,98117
October 27 2018,S137402,Elton,Dog,Labrador Retriever,,98119
October 25 2018,S123972,Pip,Dog,Basenji,Cardigan Welsh Corgi,98118
December 14 2018,959914,Fergi,Dog,Terrier,,98125
December 21 2018,8004047,Boobafina,Dog,Labrador Retriever,,98119
November 09 2018,901930,Milo,Dog,Labrador Retriever,Standard Poodle,98133
December 29 2018,S148240,Susie,Dog,Cardigan Welsh Corgi,,98107
December 29 2018,960648,Mikey,Dog,Labrador Retriever,Border Collie,98126
November 19 2018,8002990,Ernie,Dog,Standard Poodle,,98126
December 28 2018,8004177,Milo,Dog,Border Collie,Rhodesian Ridgeback,98103
December 11 2018,S124145,Delilah,Dog,Cardigan Welsh Corgi,,98199
November 28 2018,8003318,Gaspode,Dog,Greyhound,,98118
November 28 2018,8003307,Bea,Dog,Standard Poodle,,98116
November 19 2018,8002954,Amber,Dog,Golden Retriever,,98106
December 15 2018,S122071,Daisy,Dog,Standard Poodle,Labrador Retriever,98115
December 28 2018,S115566,Bruges,Dog,Boxer,,98125
December 11 2018,S144727,Gracie,Dog,American Staffordshire Terrier,American Pit Bull Terrier,98101
December 15 2018,960541,Sophie,Dog,Bichon Frise,Miniature Poodle,98103
November 24 2018,S121803,Gillian,Dog,German Shorthaired Pointer,,98117
November 29 2018,904900,Cooper,Dog,Labrador Retriever,Border Collie,98117
November 18 2018,279902,Molly,Dog,Cavalier King Charles Spaniel,,98144
December 19 2018,956886,Romeo,Dog,Maltese,,98199
October 27 2018,726475,LuluBelle,Dog,French Bulldog,,98118
December 24 2018,S124635,Blinky,Dog,Chihuahua,,98103
December 07 2018,S127100,Ruby,Dog,Labrador Retriever,,98103
November 09 2018,831952,Charlie,Dog,Dachshund,,98109
December 13 2018,8003820,Emma,Dog,Miniature Australian Shepherd,,98116
November 24 2018,S146575,Travis,Dog,West Highland White Terrier,,98105
December 07 2018,8003590,Opal,Dog,Australian Kelpie,Australian Kelpie,98108
November 01 2018,S152191,Bodhi,Dog,Golden Retriever,Standard Poodle,98116
December 19 2018,S108342,Ajax,Dog,Whippet,,98109
November 07 2018,904614,Jax,Dog,Pomeranian,,98119
November 22 2018,904523,Raegan,Dog,Golden Retriever,Standard Poodle,98115
November 06 2018,902482,Lulu,Dog,Chihuahua,,98115
December 07 2018,279624,Lilly,Dog,Maltese,,98106
November 24 2018,S125628,Sophie,Dog,American Cocker Spaniel,Miniature Poodle,98199
November 03 2018,8002405,Sammy,Dog,Golden Retriever,,98115
November 17 2018,S124263,Kane,Dog,German Shepherd,,98103
November 07 2018,S107467,Lupo,Dog,Australian Cattle Dog,,98121
November 24 2018,S123800,Paddington Bear,Dog,Pomeranian,,98102
November 10 2018,900666,Kaley,Dog,Border Collie,,98115
November 18 2018,821105,Zoe,Dog,Shiba Inu,,98109
November 28 2018,8003330,Bruno,Dog,Cavalier King Charles Spaniel,,98125
December 31 2018,S122872,Max,Dog,Chihuahua,Australian Cattle Dog,98107
December 10 2018,8003711,Alfie,Dog,Golden Retriever,,98109
November 26 2018,S122472,Lady,Dog,Shih Tzu,Border Terrier,98144
December 02 2018,8003438,Oki,Dog,Labrador Retriever,,98116
December 06 2018,S125261,Chloe,Dog,Labrador Retriever,,98112
December 07 2018,958107,Princeton,Dog,Pomeranian,,98115
November 01 2018,8002384,Ziggy Stardust,Dog,Boston Terrier,,98102
December 17 2018,S125259,Bowie,Dog,Papillon,,98107
November 14 2018,903454,Sparrow,Dog,Labrador Retriever,Rottweiler,98115
November 11 2018,829251,Abby,Dog,Hound,,98115
December 21 2018,901655,Bennett,Dog,Golden Retriever,,98118
December 05 2018,8003511,Cooper,Dog,Labrador Retriever,,98105
November 24 2018,8003174,Maizy,Dog,Labrador Retriever,,98116
October 29 2018,835227,Piper,Dog,Rat Terrier,,98115
October 28 2018,8002263,Carly,Dog,Xoloitzcuintli,,98115
November 04 2018,8002436,Cosmo,Dog,Terrier,Chihuahua,98126
October 23 2018,S135757,Sunny,Dog,Golden Retriever,,98133
November 14 2018,905184,Mishka,Dog,Bichon Frise,American Cocker Spaniel,98109
November 24 2018,827747,Abigail,Dog,Bloodhound,,98117
November 17 2018,835235,Charlie,Dog,Pug,Beagle,98106
December 30 2018,902186,Odis,Dog,Golden Retriever,,98144
November 03 2018,444948,Bruno,Dog,Rhodesian Ridgeback,Chow Chow,98122
October 31 2018,S114315,Daisy,Dog,Pembroke Welsh Corgi,,98125
November 30 2018,832220,Fiona,Dog,Scottish Terrier,,98106
November 03 2018,S137439,Hugo,Dog,Pug,,98119
December 27 2018,8004168,Rudy,Dog,Retriever,Labrador Retriever,98112
November 03 2018,831842,Nala,Dog,Spaniel,Golden Retriever,98103
December 20 2018,S125880,"Jimmy Chew ""Chewie""",Dog,American Bulldog,,98119
December 26 2018,8004131,Dickie,Dog,West Highland White Terrier,,98122
December 20 2018,S107711,Coco,Dog,Labrador Retriever,,98115
November 24 2018,883597,Indie,Dog,English Cocker Spaniel,,98118
November 23 2018,S122451,Lexi,Dog,Soft Coated Wheaten Terrier,,98126
December 03 2018,900111,Manny,Dog,Labrador Retriever,,98126
December 05 2018,8003539,Eavie,Dog,Australian Shepherd,Miniature Poodle,98103
October 25 2018,S152174,Lucas,Dog,German Shepherd,,98119
November 03 2018,S146781,Maple,Dog,Labrador Retriever,Standard Poodle,98109
December 12 2018,961438,Ruby,Dog,German Shepherd,Terrier,98136
December 27 2018,8004160,Juneau,Dog,Labrador Retriever,Border Collie,98103
November 08 2018,731014,Gemma,Dog,Labrador Retriever,Standard Poodle,98101
November 14 2018,S124509,Gus,Dog,Labrador Retriever,,98126
December 09 2018,S139138,Mickie,Dog,Dachshund,,98126
November 06 2018,S124090,Gracie,Dog,German Shepherd,,98136
November 30 2018,903484,Jameson,Dog,Brittany,,98125
December 09 2018,8003675,Smokey,Dog,Terrier,Shih Tzu,98107
October 18 2018,S121134,Orbit,Dog,Pomeranian,,98103
December 05 2018,8003526,Rizzo,Dog,American Pit Bull Terrier,Pointer,98115
November 05 2018,S124012,Bentley,Dog,Labrador Retriever,Standard Poodle,98144
November 05 2018,S106241,Abraham,Dog,French Bulldog,,98144
November 20 2018,831186,Izzy,Dog,Staffordshire Bull Terrier,Labrador Retriever,98103
December 27 2018,959302,Mori,Dog,Terrier,Dachshund,98115
October 18 2018,S122128,Bella,Dog,Labrador Retriever,American Pit Bull Terrier,98144
December 07 2018,958452,Stella,Dog,Dachshund,,98106
December 02 2018,8003446,Roxy,Dog,Pointer,Beagle,98126
December 27 2018,S138953,Sadie,Dog,Labrador Retriever,,98126
November 24 2018,831668,Mira Shakira,Dog,Siberian Husky,,98118
November 01 2018,826325,Drake,Dog,Labrador Retriever,,98199
November 22 2018,8003117,Abby,Dog,Pug,,98136
November 30 2018,S105360,Bobo,Dog,Shih Tzu,Chihuahua,98178
December 22 2018,S104092,Lucy,Dog,Labrador Retriever,,98107
November 08 2018,S146547,Pepper,Dog,Chihuahua,Rat Terrier,98106
October 31 2018,S122731,Daisy,Dog,Airedale Terrier,Golden Retriever,98133
December 11 2018,S138463,Freddie,Dog,Australian Shepherd,German Shepherd,98108
May 05 2018,S142965,Jupiter,Dog,Standard Poodle,,98103
November 05 2018,8002474,Walter,Dog,Retriever,Chinese Shar-Pei,98108
December 17 2018,8003897,Lucy,Dog,Toy Poodle,,98115
November 19 2018,835252,Ellie,Dog,Boston Terrier,Australian Shepherd,98115
November 25 2018,S125671,Austin,Dog,Australian Shepherd,,98144
November 19 2018,S137088,Tank,Dog,Labrador Retriever,,98136
November 26 2018,8003241,Mochi,Dog,Papillon,,98199
October 25 2018,S120771,Grace,Dog,Labrador Retriever,,98103
December 07 2018,24971,Simon,Dog,Golden Retriever,Standard Poodle,98117
December 18 2018,S117953,Rexx,Dog,American Pit Bull Terrier,Bullmastiff,98106
November 29 2018,S138202,Sirius Lee Welzen,Dog,Standard Poodle,Alaskan Malamute,98116
December 16 2018,8003882,Tiger,Dog,Greyhound,Greyhound,98103
December 01 2018,S124063,Samuel Fox,Dog,Cavalier King Charles Spaniel,Miniature Poodle,98105
October 21 2018,S105335,Adarha,Dog,Siberian Husky,,98116
September 17 2018,730621,Rudie,Dog,Shetland Sheepdog,,98136
November 07 2018,S124285,Penny,Dog,American Staffordshire Terrier,Chow Chow,98103
December 17 2018,8003926,Charlie,Dog,Australian Cattle Dog,,98115
November 21 2018,8003106,Charlie,Dog,Siberian Husky,,98116
October 28 2018,S146514,Fondue,Dog,German Shepherd,,98112
November 24 2018,826404,Bailey,Dog,Shih Tzu,Lhasa Apso,98119
November 19 2018,S137367,Benji,Dog,Terrier,,98199
November 16 2018,901714,Mei Ling,Dog,Cavalier King Charles Spaniel,,98102
October 18 2018,8002008,Pippen,Dog,Pug,Beagle,98177
December 01 2018,S150140,Kylo,Dog,Standard Poodle,Labrador Retriever,98136
October 27 2018,830238,Kate,Dog,Labrador Retriever,,98112
December 13 2018,443266,Hera,Dog,Staffordshire Bull Terrier,,98115
October 29 2018,440105,Ted,Dog,American Cocker Spaniel,,98104
November 15 2018,S148139,Nirvash,Dog,Boston Terrier,,98121
December 13 2018,S125002,Knox,Dog,Leonberger,Shepherd,98177
December 10 2018,S124461,Nala,Dog,Alaskan Malamute,,98115
November 20 2018,8003032,Murphy,Dog,Golden Retriever,,98122
December 01 2018,S148184,Winston,Dog,Old English Sheepdog,,98199
December 10 2018,904638,Dexter,Dog,Manchester Terrier,,98115
November 12 2018,S135451,Casper,Dog,Alaskan Husky,,98118
October 18 2018,8001986,Josie,Dog,Beagle,Pug,98133
December 11 2018,8003725,Kiba,Dog,Pug,,98126
November 26 2018,S140625,Chloe,Dog,Labrador Retriever,,98119
October 18 2018,579533,Mojo,Dog,Standard Poodle,Golden Retriever,98116
October 15 2018,8001896,Forbin,Dog,Schnauzer,,98102
October 20 2018,833608,Millie,Dog,Dachshund,,98178
October 24 2018,29875,Ozzy,Dog,Siberian Husky,,98117
December 23 2018,S138831,Cooper,Dog,Standard Poodle,,98109
